month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
6,28,2022,6/28/2022,41.39151518,-83.08813049,1,UM,,,,386.2059586,Non-Random
8,25,2022,8/25/2022,41.42261449,-83.06885465,0,LM,,,,261.0019482,Random
10,11,2022,10/11/2022,41.43804826,-83.04126572,0,M,,,,50.1126768,Sustained
9,8,2022,9/8/2022,41.42703504,-83.0626103,0,LM,,,,318.2341478,Bait/Attractant
8,18,2022,8/18/2022,41.38939366,-83.10458395,0,UM,,,,845.49558,Non-Random
7,26,2022,7/26/2022,41.37068334,-83.0954589,0,FM,,,,193.2793292,Non-Random
7,12,2022,7/12/2022,41.35482993,-83.10881965,0,FM,,,,56.96645666,Sustained
10,4,2022,10/4/2022,41.40595828,-83.07980756,0,LM,,,,514.3759645,Random
7,25,2022,7/25/2022,41.37887,-83.09513,0,FM,,,,197.3540797,Non-Random
6,13,2022,6/13/2022,41.45008663,-83.01901193,0,M,,,,102.5947336,Sustained
5,19,2022,5/19/2022,41.4071095,-83.07875153,0,LM,,,,419.2821388,Bait/Attractant
4,20,2022,4/20/2022,41.39817575,-83.09927024,0,UM,,,,541.1015537,Sustained
9,8,2022,9/8/2022,41.41877446,-83.07085208,0,LM,,,,301.2924632,Bait/Attractant
7,13,2022,7/13/2022,41.35744708,-83.10380017,0,FM,,,,87.08506205,Sustained
8,22,2022,8/22/2022,41.42694719,-83.06237215,0,LM,,,,318.2341478,Bait/Attractant
5,31,2022,5/31/2022,41.42008944,-83.07201162,0,LM,,,,428.1759236,Random
7,25,2022,7/25/2022,41.37583,-83.09506,1,FM,,,,243.5695891,Non-Random
7,28,2022,7/28/2022,41.3893383,-83.10476349,0,UM,,,,464.5236473,Non-Random
5,19,2022,5/19/2022,41.42234702,-83.06484022,0,LM,,,,390.7196825,Bait/Attractant
6,24,2022,6/24/2022,41.41885511,-83.07075517,1,LM,,,,609.3983897,Non-Random
7,14,2022,7/14/2022,41.42277802,-83.06245948,0,LM,,,,109.7229938,Sustained
8,15,2022,8/15/2022,41.40294719,-83.0845918,0,LM,,,,412.7579349,Random
8,25,2022,8/25/2022,41.38560521,-83.0953718,0,UM,,,,330.8666725,Random
8,1,2022,8/1/2022,41.35781384,-83.10071182,0,FM,,,,125.3679052,Sustained
7,26,2022,7/26/2022,41.38781405,-83.08486377,0,UM,,,,250.4292384,Non-Random
7,13,2022,7/13/2022,41.39299299,-83.09076659,0,UM,,,,87.07108268,Sustained
9,13,2022,9/13/2022,41.40070639,-83.09578395,0,UM,,,,159.6101057,Sustained
4,5,2022,4/5/2022,41.37889635,-83.09494626,0,FM,,,,429.5,Non-Random
9,14,2022,9/14/2022,41.42612016,-83.062292,0,LM,,,,429.5,Sustained
9,8,2022,9/8/2022,41.42201578,-83.06382593,0,LM,,,,350.4297535,Bait/Attractant
8,3,2022,8/3/2022,41.43315424,-83.0428745,0,M,,,,99.41548102,Sustained
9,20,2022,9/20/2022,41.39121808,-83.10595176,0,UM,,,,663.0306036,Non-Random
5,18,2022,5/18/2022,41.38021125,-83.09587902,0,FM,,,,152.120937,Non-Random
