sys.sample.code,sys.loc.code,soil.type,sample.type,parent.sample.code,bkg.char.group,start.depth,sample.date,chemical.name,detect.lag,final.detect.flag,final.result.value,final.detection.limit,combo.result
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Copper,Y,Y,11.4,,11.4
18IT00218,18GP167,alluvial,N,,Area 18,8,4/30/2003,Copper,Y,Y,11.37,,11.37
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Copper,Y,Y,18,,18
18IT00216,18GP167,alluvial,N,,Area 18,0,4/30/2003,Beryllium,Y,Y,0.8,,0.8
18IT00216,18GP167,alluvial,N,,Area 18,0,4/30/2003,Nickel,Y,Y,19.1,,19.1
18IT00182,18GP162,alluvial,N,,Area 18,4,4/29/2003,Strontium,Y,Y,31.65,,31.65
18IT00245,18GP171,alluvial,N,,Area 18,4,4/30/2003,Cadmium,Y,Y,0.392,,0.392
18IT00167,18GP160,alluvial,N,,Area 18,0,4/29/2003,Zinc,Y,Y,1468,,1468
18IT00141,18GP156,alluvial,N,,Area 18,8,4/29/2003,Zinc,Y,Y,36.8,,36.8
18IT00181,18GP162,alluvial,N,,Area 18,0,4/29/2003,Zinc,Y,Y,483,,483
18IT00183,18GP162,alluvial,N,,Area 18,8,4/29/2003,Zinc,Y,Y,58.6,,58.6
18IT00174,18GP161,alluvial,N,,Area 18,0,4/29/2003,Zinc,Y,Y,125,,125
18IT00140,18GP156,alluvial,N,,Area 18,4,4/29/2003,Zinc,Y,Y,42.6,,42.6
18IT00175,18GP161,alluvial,N,,Area 18,4,4/29/2003,Zinc,Y,Y,65.65,,65.65
18IT00168,18GP160,alluvial,N,,Area 18,4,4/29/2003,Zinc,Y,Y,449,,449
18IT00169,18GP160,alluvial,N,,Area 18,8,4/29/2003,Zinc,Y,Y,65,,65
18IT00140,18GP156,alluvial,N,,Area 18,4,4/29/2003,Strontium,Y,Y,55.7,,55.7
18IT00176,18GP161,alluvial,N,,Area 18,8,4/29/2003,Zinc,Y,Y,51.5,,51.5
18IT00175,18GP161,alluvial,N,,Area 18,4,4/29/2003,Strontium,Y,Y,37.95,,37.95
18IT00183,18GP162,alluvial,N,,Area 18,8,4/29/2003,Strontium,Y,Y,30.6,,30.6
18IT00141,18GP156,alluvial,N,,Area 18,8,4/29/2003,Strontium,Y,Y,17.6,,17.6
18IT00174,18GP161,alluvial,N,,Area 18,0,4/29/2003,Strontium,Y,Y,51.1,,51.1
18IT00168,18GP160,alluvial,N,,Area 18,4,4/29/2003,Strontium,Y,Y,65.6,,65.6
18IT00176,18GP161,alluvial,N,,Area 18,8,4/29/2003,Strontium,Y,Y,24.9,,24.9
18IT00181,18GP162,alluvial,N,,Area 18,0,4/29/2003,Strontium,Y,Y,58.9,,58.9
18IT00169,18GP160,alluvial,N,,Area 18,8,4/29/2003,Strontium,Y,Y,32.2,,32.2
18IT00167,18GP160,alluvial,N,,Area 18,0,4/29/2003,Strontium,Y,Y,77.8,,77.8
18IT00139,18GP156,alluvial,N,,Area 18,0,4/29/2003,Strontium,Y,Y,58.9,,58.9
18IT00182,18GP162,alluvial,N,,Area 18,4,4/29/2003,Zinc,Y,Y,42.1,,42.1
18IT00246,18GP171,alluvial,N,,Area 18,8,4/30/2003,Beryllium,Y,Y,0.54,,0.54
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Selenium,Y,Y,0.661,,0.661
18IT00244,18GP171,alluvial,N,,Area 18,0,4/30/2003,Beryllium,Y,Y,0.705,,0.705
18IT00217,18GP167,alluvial,N,,Area 18,4,4/30/2003,Beryllium,Y,Y,0.638,,0.638
18IT00196,18GP164,alluvial,N,,Area 18,4,4/30/2003,Beryllium,Y,Y,0.644,,0.644
18IT00195,18GP164,alluvial,N,,Area 18,0,4/30/2003,Beryllium,Y,Y,0.766,,0.766
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Beryllium,Y,Y,0.419,,0.419
18IT00245,18GP171,alluvial,N,,Area 18,4,4/30/2003,Beryllium,Y,Y,0.589,,0.589
18IT00188,18GP163,alluvial,N,,Area 18,0,4/30/2003,Beryllium,Y,Y,0.489,,0.489
18IT00190,18GP163,alluvial,N,,Area 18,8,4/30/2003,Beryllium,Y,Y,0.515,,0.515
18IT00139,18GP156,alluvial,N,,Area 18,0,4/29/2003,Zinc,Y,Y,57.5,,57.5
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Beryllium,Y,Y,0.832,,0.832
18IT00246,18GP171,alluvial,N,,Area 18,8,4/30/2003,Cadmium,Y,Y,0.4355,,0.4355
18IT00244,18GP171,alluvial,N,,Area 18,0,4/30/2003,Arsenic,Y,Y,2.46,,2.46
18IT00188,18GP163,alluvial,N,,Area 18,0,4/30/2003,Arsenic,Y,Y,7.74,,7.74
18IT00246,18GP171,alluvial,N,,Area 18,8,4/30/2003,Arsenic,Y,Y,3.935,,3.935
18IT00196,18GP164,alluvial,N,,Area 18,4,4/30/2003,Arsenic,Y,Y,3.77,,3.77
18IT00218,18GP167,alluvial,N,,Area 18,8,4/30/2003,Arsenic,Y,Y,8.8,,8.8
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Arsenic,Y,Y,4.43,,4.43
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Arsenic,Y,Y,1.75,,1.75
18IT00245,18GP171,alluvial,N,,Area 18,4,4/30/2003,Arsenic,Y,Y,4.52,,4.52
18IT00190,18GP163,alluvial,N,,Area 18,8,4/30/2003,Arsenic,Y,Y,11.3,,11.3
18IT00195,18GP164,alluvial,N,,Area 18,0,4/30/2003,Arsenic,Y,Y,3.88,,3.88
18IT00218,18GP167,alluvial,N,,Area 18,8,4/30/2003,Beryllium,Y,Y,0.4835,,0.4835
BG-3(070190),BG03,alluvial,N,,background,0.3,7/1/1990,Barium,Y,Y,270,,270
BG-3(070190),BG03,alluvial,N,,background,0.3,7/1/1990,Beryllium,Y,Y,1.2,,1.2
BG-17(070190),BG17,upland,N,,background,0.3,7/1/1990,Beryllium,Y,Y,1.26,,1.26
BG-4(070190),BG04,alluvial,N,,background,0.3,7/1/1990,Beryllium,Y,Y,1.21,,1.21
